,Bios,Movies,TV,Religion,Music,Sports,Books,Politics,Bigrams
614,"['hardcore', 'coffee', 'guru', 'hipster-friendly', 'food', 'specialist', 'zombie', 'expert', 'communicator', 'music', 'fanatic']",8,5,6,8,6,0,0,"[('coffee', 'guru'), ('communicator', 'music'), ('expert', 'communicator'), ('food', 'specialist'), ('guru', 'hipster-friendly'), ('hardcore', 'coffee'), ('hipster-friendly', 'food'), ('music', 'fanatic'), ('specialist', 'zombie'), ('zombie', 'expert')]"
615,"['beer', 'enthusiast', 'amateur', 'alcohol', 'scholar', 'extreme', 'social', 'medium', 'fanatic', 'evil', 'writer', 'gamer']",2,6,0,4,4,3,3,"[('alcohol', 'scholar'), ('amateur', 'alcohol'), ('beer', 'enthusiast'), ('enthusiast', 'amateur'), ('evil', 'writer'), ('extreme', 'social'), ('fanatic', 'evil'), ('medium', 'fanatic'), ('scholar', 'extreme'), ('social', 'medium'), ('writer', 'gamer')]"
616,"['infuriatingly', 'humble', 'communicator', 'coffee', 'geek', 'subtly', 'charming', 'troublemaker', 'lifelong', 'music', 'fan', 'gamer']",1,6,0,3,5,5,9,"[('charming', 'troublemaker'), ('coffee', 'geek'), ('communicator', 'coffee'), ('fan', 'gamer'), ('geek', 'subtly'), ('humble', 'communicator'), ('infuriatingly', 'humble'), ('lifelong', 'music'), ('music', 'fan'), ('subtly', 'charming'), ('troublemaker', 'lifelong')]"
617,"['professional', 'bacon', 'scholar', 'pop', 'culture', 'fanatic', 'alcohol', 'ninja', 'devoted', 'zombie', 'geek']",0,3,2,4,2,9,6,"[('alcohol', 'ninja'), ('bacon', 'scholar'), ('culture', 'fanatic'), ('devoted', 'zombie'), ('fanatic', 'alcohol'), ('ninja', 'devoted'), ('pop', 'culture'), ('professional', 'bacon'), ('scholar', 'pop'), ('zombie', 'geek')]"
618,"['amateur', 'internet', 'junkie', 'unapologetic', 'bacon', 'advocate', 'subtly', 'charming', 'zombie', 'practitioner', 'extreme', 'travel', 'buff', 'twitter', 'evangelist']",8,3,9,2,1,8,8,"[('advocate', 'subtly'), ('amateur', 'internet'), ('bacon', 'advocate'), ('buff', 'twitter'), ('charming', 'zombie'), ('extreme', 'travel'), ('internet', 'junkie'), ('junkie', 'unapologetic'), ('practitioner', 'extreme'), ('subtly', 'charming'), ('travel', 'buff'), ('twitter', 'evangelist'), ('unapologetic', 'bacon'), ('zombie', 'practitioner')]"
619,"['twitter', 'fanatic', 'lifelong', 'creator', 'pop', 'culture', 'practitioner', 'hardcore', 'gamer', 'zombie', 'fan', 'tv', 'aficionado']",1,7,9,8,0,2,8,"[('creator', 'pop'), ('culture', 'practitioner'), ('fan', 'tv'), ('fanatic', 'lifelong'), ('gamer', 'zombie'), ('hardcore', 'gamer'), ('lifelong', 'creator'), ('pop', 'culture'), ('practitioner', 'hardcore'), ('tv', 'aficionado'), ('twitter', 'fanatic'), ('zombie', 'fan')]"
620,"['professional', 'twitter', 'maven', 'typical', 'gamer', 'web', 'junkie', 'freelance', 'internet', 'fanatic', 'writer', 'beer', 'evangelist']",2,1,7,1,2,4,0,"[('beer', 'evangelist'), ('fanatic', 'writer'), ('freelance', 'internet'), ('gamer', 'web'), ('internet', 'fanatic'), ('junkie', 'freelance'), ('maven', 'typical'), ('professional', 'twitter'), ('twitter', 'maven'), ('typical', 'gamer'), ('web', 'junkie'), ('writer', 'beer')]"
621,"['problem', 'solver', 'zombie', 'trailblazer', 'beer', 'evangelist', 'social', 'medium', 'junkie', 'food', 'scholar', 'freelance', 'travel', 'maven']",8,9,2,0,0,2,0,"[('beer', 'evangelist'), ('evangelist', 'social'), ('food', 'scholar'), ('freelance', 'travel'), ('junkie', 'food'), ('medium', 'junkie'), ('problem', 'solver'), ('scholar', 'freelance'), ('social', 'medium'), ('solver', 'zombie'), ('trailblazer', 'beer'), ('travel', 'maven'), ('zombie', 'trailblazer')]"
622,"['total', 'web', 'junkie', 'writer', 'bacon', 'enthusiast', 'music', 'fanatic', 'incurable', 'problem', 'solver', 'travel', 'ninja', 'organizer']",6,0,5,8,6,0,1,"[('bacon', 'enthusiast'), ('enthusiast', 'music'), ('fanatic', 'incurable'), ('incurable', 'problem'), ('junkie', 'writer'), ('music', 'fanatic'), ('ninja', 'organizer'), ('problem', 'solver'), ('solver', 'travel'), ('total', 'web'), ('travel', 'ninja'), ('web', 'junkie'), ('writer', 'bacon')]"
623,"['evil', 'introvert', 'professional', 'communicator', 'troublemaker', 'beer', 'nerd', 'incurable', 'bacon', 'specialist', 'wannabe', 'entrepreneur', 'certified', 'tv', 'fanatic']",2,1,5,4,3,8,7,"[('bacon', 'specialist'), ('beer', 'nerd'), ('certified', 'tv'), ('communicator', 'troublemaker'), ('entrepreneur', 'certified'), ('evil', 'introvert'), ('incurable', 'bacon'), ('introvert', 'professional'), ('nerd', 'incurable'), ('professional', 'communicator'), ('specialist', 'wannabe'), ('troublemaker', 'beer'), ('tv', 'fanatic'), ('wannabe', 'entrepreneur')]"
624,"['writer', 'student', 'total', 'music', 'guru', 'problem', 'solver', 'coffee', 'fanatic', 'certified', 'organizer']",0,9,0,6,7,8,0,"[('certified', 'organizer'), ('coffee', 'fanatic'), ('fanatic', 'certified'), ('guru', 'problem'), ('music', 'guru'), ('problem', 'solver'), ('solver', 'coffee'), ('student', 'total'), ('total', 'music'), ('writer', 'student')]"
625,"['proud', 'communicator', 'bacon', 'ninja', 'social', 'medium', 'buff', 'alcohol', 'practitioner', 'hardcore', 'web', 'fan']",9,9,0,8,0,7,6,"[('alcohol', 'practitioner'), ('bacon', 'ninja'), ('buff', 'alcohol'), ('communicator', 'bacon'), ('hardcore', 'web'), ('medium', 'buff'), ('ninja', 'social'), ('practitioner', 'hardcore'), ('proud', 'communicator'), ('social', 'medium'), ('web', 'fan')]"
626,"['analyst', 'amateur', 'student', 'creator', 'infuriatingly', 'humble', 'pop', 'culture', 'fanatic', 'devoted', 'reader', 'subtly', 'charming', 'beer', 'geek']",2,6,0,2,2,4,4,"[('amateur', 'student'), ('analyst', 'amateur'), ('beer', 'geek'), ('charming', 'beer'), ('creator', 'infuriatingly'), ('culture', 'fanatic'), ('devoted', 'reader'), ('fanatic', 'devoted'), ('humble', 'pop'), ('infuriatingly', 'humble'), ('pop', 'culture'), ('reader', 'subtly'), ('student', 'creator'), ('subtly', 'charming')]"
627,"['writer', 'typical', 'social', 'medium', 'fanatic', 'award-winning', 'alcohol', 'fan', 'infuriatingly', 'humble', 'music', 'scholar']",5,9,9,4,7,9,3,"[('alcohol', 'fan'), ('award-winning', 'alcohol'), ('fan', 'infuriatingly'), ('fanatic', 'award-winning'), ('humble', 'music'), ('infuriatingly', 'humble'), ('medium', 'fanatic'), ('music', 'scholar'), ('social', 'medium'), ('typical', 'social'), ('writer', 'typical')]"
628,"['student', 'introvert', 'twitter', 'guru', 'lifelong', 'writer', 'zombie', 'ninja', 'tv', 'buff', 'evil', 'bacon', 'geek', 'beer', 'evangelist', 'award-winning', 'music', 'lover']",9,6,4,7,7,8,3,"[('award-winning', 'music'), ('bacon', 'geek'), ('beer', 'evangelist'), ('buff', 'evil'), ('evangelist', 'award-winning'), ('evil', 'bacon'), ('geek', 'beer'), ('guru', 'lifelong'), ('introvert', 'twitter'), ('lifelong', 'writer'), ('music', 'lover'), ('ninja', 'tv'), ('student', 'introvert'), ('tv', 'buff'), ('twitter', 'guru'), ('writer', 'zombie'), ('zombie', 'ninja')]"
629,"['tv', 'geek', 'friendly', 'writer', 'beer', 'maven', 'unapologetic', 'social', 'medium', 'advocate']",5,7,8,4,8,6,3,"[('beer', 'maven'), ('friendly', 'writer'), ('geek', 'friendly'), ('maven', 'unapologetic'), ('medium', 'advocate'), ('social', 'medium'), ('tv', 'geek'), ('unapologetic', 'social'), ('writer', 'beer')]"
630,"['coffee', 'enthusiast', 'pop', 'culture', 'specialist', 'communicator', 'amateur', 'twitter', 'buff', 'award-winning', 'problem', 'solver']",5,5,4,9,6,7,6,"[('amateur', 'twitter'), ('award-winning', 'problem'), ('buff', 'award-winning'), ('coffee', 'enthusiast'), ('communicator', 'amateur'), ('culture', 'specialist'), ('enthusiast', 'pop'), ('pop', 'culture'), ('problem', 'solver'), ('specialist', 'communicator'), ('twitter', 'buff')]"
631,"['music', 'specialist', 'proud', 'problem', 'solver', 'student', 'hardcore', 'thinker', 'organizer', 'certified', 'twitter', 'practitioner']",8,3,6,1,6,3,2,"[('certified', 'twitter'), ('hardcore', 'thinker'), ('music', 'specialist'), ('organizer', 'certified'), ('problem', 'solver'), ('proud', 'problem'), ('solver', 'student'), ('specialist', 'proud'), ('student', 'hardcore'), ('thinker', 'organizer'), ('twitter', 'practitioner')]"
632,"['alcohol', 'maven', 'award-winning', 'internet', 'nerd', 'professional', 'introvert', 'lifelong', 'travelaholic', 'writer', 'analyst', 'pop', 'culture', 'fan']",1,5,4,7,7,4,1,"[('alcohol', 'maven'), ('analyst', 'pop'), ('award-winning', 'internet'), ('culture', 'fan'), ('internet', 'nerd'), ('introvert', 'lifelong'), ('lifelong', 'travelaholic'), ('maven', 'award-winning'), ('nerd', 'professional'), ('pop', 'culture'), ('professional', 'introvert'), ('travelaholic', 'writer'), ('writer', 'analyst')]"
633,"['award-winning', 'thinker', 'coffee', 'fan', 'total', 'tv', 'buff', 'student', 'beer', 'practitioner', 'social', 'mediaholic', 'troublemaker']",4,1,7,6,3,9,0,"[('award-winning', 'thinker'), ('beer', 'practitioner'), ('buff', 'student'), ('coffee', 'fan'), ('fan', 'total'), ('mediaholic', 'troublemaker'), ('practitioner', 'social'), ('social', 'mediaholic'), ('student', 'beer'), ('thinker', 'coffee'), ('total', 'tv'), ('tv', 'buff')]"
634,"['amateur', 'twitter', 'buff', 'music', 'maven', 'total', 'beer', 'evangelist', 'social', 'medium', 'advocate', 'zombie', 'fan']",3,2,2,0,8,6,7,"[('advocate', 'zombie'), ('amateur', 'twitter'), ('beer', 'evangelist'), ('buff', 'music'), ('evangelist', 'social'), ('maven', 'total'), ('medium', 'advocate'), ('music', 'maven'), ('social', 'medium'), ('total', 'beer'), ('twitter', 'buff'), ('zombie', 'fan')]"
635,"['proud', 'zombie', 'trailblazer', 'introvert', 'amateur', 'web', 'specialist', 'music', 'advocate', 'thinker', 'professional', 'student', 'analyst', 'beer', 'expert']",8,8,3,4,0,3,7,"[('advocate', 'thinker'), ('amateur', 'web'), ('analyst', 'beer'), ('beer', 'expert'), ('introvert', 'amateur'), ('music', 'advocate'), ('professional', 'student'), ('proud', 'zombie'), ('specialist', 'music'), ('student', 'analyst'), ('thinker', 'professional'), ('trailblazer', 'introvert'), ('web', 'specialist'), ('zombie', 'trailblazer')]"
636,"['music', 'fanatic', 'pop', 'culture', 'nerd', 'proud', 'explorer', 'alcohol', 'scholar', 'extreme', 'web', 'buff']",8,0,2,0,1,4,1,"[('alcohol', 'scholar'), ('culture', 'nerd'), ('explorer', 'alcohol'), ('extreme', 'web'), ('fanatic', 'pop'), ('music', 'fanatic'), ('nerd', 'proud'), ('pop', 'culture'), ('proud', 'explorer'), ('scholar', 'extreme'), ('web', 'buff')]"
637,"['twitter', 'enthusiast', 'subtly', 'charming', 'web', 'geek', 'incurable', 'writer', 'bacon', 'lover']",2,3,9,5,3,3,2,"[('bacon', 'lover'), ('charming', 'web'), ('enthusiast', 'subtly'), ('geek', 'incurable'), ('incurable', 'writer'), ('subtly', 'charming'), ('twitter', 'enthusiast'), ('web', 'geek'), ('writer', 'bacon')]"
638,"['total', 'twitter', 'evangelist', 'gamer', 'friendly', 'music', 'maven', 'unapologetic', 'troublemaker']",0,1,0,9,3,5,0,"[('evangelist', 'gamer'), ('friendly', 'music'), ('gamer', 'friendly'), ('maven', 'unapologetic'), ('music', 'maven'), ('total', 'twitter'), ('twitter', 'evangelist'), ('unapologetic', 'troublemaker')]"
639,"['explorer', 'general', 'reader', 'certified', 'student', 'professional', 'alcohol', 'evangelist', 'problem', 'solver', 'award-winning', 'music', 'expert', 'writer']",4,4,5,8,0,7,3,"[('alcohol', 'evangelist'), ('award-winning', 'music'), ('certified', 'student'), ('evangelist', 'problem'), ('expert', 'writer'), ('explorer', 'general'), ('general', 'reader'), ('music', 'expert'), ('problem', 'solver'), ('professional', 'alcohol'), ('reader', 'certified'), ('solver', 'award-winning'), ('student', 'professional')]"
640,"['hipster-friendly', 'student', 'avid', 'web', 'guru', 'social', 'medium', 'ninja', 'general', 'introvert', 'coffee', 'enthusiast', 'proud', 'food', 'expert']",8,8,5,4,6,2,1,"[('avid', 'web'), ('coffee', 'enthusiast'), ('enthusiast', 'proud'), ('food', 'expert'), ('general', 'introvert'), ('guru', 'social'), ('hipster-friendly', 'student'), ('introvert', 'coffee'), ('medium', 'ninja'), ('ninja', 'general'), ('proud', 'food'), ('social', 'medium'), ('student', 'avid'), ('web', 'guru')]"
641,"['web', 'lover', 'lifelong', 'tv', 'enthusiast', 'pop', 'culture', 'guru', 'social', 'medium', 'maven', 'problem', 'solver', 'friend', 'animal', 'everywhere']",7,9,2,1,3,5,5,"[('animal', 'everywhere'), ('culture', 'guru'), ('enthusiast', 'pop'), ('friend', 'animal'), ('guru', 'social'), ('lifelong', 'tv'), ('lover', 'lifelong'), ('maven', 'problem'), ('medium', 'maven'), ('pop', 'culture'), ('problem', 'solver'), ('social', 'medium'), ('solver', 'friend'), ('tv', 'enthusiast'), ('web', 'lover')]"
642,"['friendly', 'organizer', 'professional', 'pop', 'culture', 'enthusiast', 'student', 'creator', 'coffee', 'practitioner']",2,0,3,8,2,1,7,"[('coffee', 'practitioner'), ('creator', 'coffee'), ('culture', 'enthusiast'), ('enthusiast', 'student'), ('friendly', 'organizer'), ('organizer', 'professional'), ('pop', 'culture'), ('professional', 'pop'), ('student', 'creator')]"
643,"['typical', 'communicator', 'friend', 'animal', 'everywhere', 'reader', 'introvert', 'alcohol', 'nerd', 'gamer']",4,5,5,5,2,8,6,"[('alcohol', 'nerd'), ('animal', 'everywhere'), ('communicator', 'friend'), ('everywhere', 'reader'), ('friend', 'animal'), ('introvert', 'alcohol'), ('nerd', 'gamer'), ('reader', 'introvert'), ('typical', 'communicator')]"
644,"['wannabe', 'gamer', 'general', 'communicator', 'explorer', 'zombie', 'fanatic', 'alcohol', 'expert', 'writer', 'troublemaker', 'avid', 'thinker']",5,2,3,3,9,0,0,"[('alcohol', 'expert'), ('avid', 'thinker'), ('communicator', 'explorer'), ('expert', 'writer'), ('explorer', 'zombie'), ('fanatic', 'alcohol'), ('gamer', 'general'), ('general', 'communicator'), ('troublemaker', 'avid'), ('wannabe', 'gamer'), ('writer', 'troublemaker'), ('zombie', 'fanatic')]"
645,"['certified', 'tv', 'fan', 'entrepreneur', 'alcohol', 'lover', 'food', 'geek', 'twitter', 'evangelist', 'fall', 'lot']",4,4,1,5,5,1,2,"[('alcohol', 'lover'), ('certified', 'tv'), ('entrepreneur', 'alcohol'), ('evangelist', 'fall'), ('fall', 'lot'), ('fan', 'entrepreneur'), ('food', 'geek'), ('geek', 'twitter'), ('lover', 'food'), ('tv', 'fan'), ('twitter', 'evangelist')]"
646,"['wannabe', 'gamer', 'professional', 'communicator', 'amateur', 'travel', 'junkie', 'general', 'thinker', 'internet', 'guru']",5,8,5,8,5,6,5,"[('amateur', 'travel'), ('communicator', 'amateur'), ('gamer', 'professional'), ('general', 'thinker'), ('internet', 'guru'), ('junkie', 'general'), ('professional', 'communicator'), ('thinker', 'internet'), ('travel', 'junkie'), ('wannabe', 'gamer')]"
647,"['pop', 'culture', 'fanatic', 'web', 'enthusiast', 'unapologetic', 'writer', 'reader', 'analyst', 'tv', 'guru', 'student', 'wannabe', 'alcohol', 'fan']",7,0,4,3,7,1,8,"[('alcohol', 'fan'), ('analyst', 'tv'), ('culture', 'fanatic'), ('enthusiast', 'unapologetic'), ('fanatic', 'web'), ('guru', 'student'), ('pop', 'culture'), ('reader', 'analyst'), ('student', 'wannabe'), ('tv', 'guru'), ('unapologetic', 'writer'), ('wannabe', 'alcohol'), ('web', 'enthusiast'), ('writer', 'reader')]"
648,"['internet', 'aficionado', 'social', 'medium', 'specialist', 'professional', 'tv', 'fanatic', 'introvert']",0,0,5,4,2,8,9,"[('aficionado', 'social'), ('fanatic', 'introvert'), ('internet', 'aficionado'), ('medium', 'specialist'), ('professional', 'tv'), ('social', 'medium'), ('specialist', 'professional'), ('tv', 'fanatic')]"
649,"['food', 'fanatic', 'bacon', 'nerd', 'student', 'general', 'problem', 'solver', 'extreme', 'travel', 'ninja', 'beer', 'fan']",3,2,4,2,0,1,5,"[('bacon', 'nerd'), ('beer', 'fan'), ('extreme', 'travel'), ('fanatic', 'bacon'), ('food', 'fanatic'), ('general', 'problem'), ('nerd', 'student'), ('ninja', 'beer'), ('problem', 'solver'), ('solver', 'extreme'), ('student', 'general'), ('travel', 'ninja')]"
650,"['thinker', 'professional', 'travel', 'geek', 'extreme', 'zombie', 'nerd', 'web', 'practitioner', 'bacon', 'trailblazer', 'music', 'junkie']",3,7,0,8,7,4,6,"[('bacon', 'trailblazer'), ('extreme', 'zombie'), ('geek', 'extreme'), ('music', 'junkie'), ('nerd', 'web'), ('practitioner', 'bacon'), ('professional', 'travel'), ('thinker', 'professional'), ('trailblazer', 'music'), ('travel', 'geek'), ('web', 'practitioner'), ('zombie', 'nerd')]"
651,"['wannabe', 'coffeeaholic', 'lifelong', 'food', 'fanatic', 'professional', 'zombie', 'evangelist', 'gamer']",6,2,4,8,2,0,1,"[('coffeeaholic', 'lifelong'), ('evangelist', 'gamer'), ('fanatic', 'professional'), ('food', 'fanatic'), ('lifelong', 'food'), ('professional', 'zombie'), ('wannabe', 'coffeeaholic'), ('zombie', 'evangelist')]"
652,"['reader', 'certified', 'organizer', 'award-winning', 'entrepreneur', 'twitter', 'nerd', 'unapologetic', 'beer', 'guru', 'pop', 'culture', 'advocate']",9,5,5,6,1,7,9,"[('award-winning', 'entrepreneur'), ('beer', 'guru'), ('certified', 'organizer'), ('culture', 'advocate'), ('entrepreneur', 'twitter'), ('guru', 'pop'), ('nerd', 'unapologetic'), ('organizer', 'award-winning'), ('pop', 'culture'), ('reader', 'certified'), ('twitter', 'nerd'), ('unapologetic', 'beer')]"
653,"['tv', 'trailblazer', 'typical', 'organizer', 'hardcore', 'beer', 'fan', 'incurable', 'internet', 'guru']",6,6,3,5,9,5,2,"[('beer', 'fan'), ('fan', 'incurable'), ('hardcore', 'beer'), ('incurable', 'internet'), ('internet', 'guru'), ('organizer', 'hardcore'), ('trailblazer', 'typical'), ('tv', 'trailblazer'), ('typical', 'organizer')]"
654,"['zombie', 'enthusiast', 'student', 'extreme', 'explorer', 'proud', 'organizer', 'beeraholic', 'troublemaker', 'general', 'music', 'fanatic']",7,1,9,6,4,2,2,"[('beeraholic', 'troublemaker'), ('enthusiast', 'student'), ('explorer', 'proud'), ('extreme', 'explorer'), ('general', 'music'), ('music', 'fanatic'), ('organizer', 'beeraholic'), ('proud', 'organizer'), ('student', 'extreme'), ('troublemaker', 'general'), ('zombie', 'enthusiast')]"
655,"['award-winning', 'baconaholic', 'prone', 'fit', 'apathy', 'twitter', 'aficionado', 'typical', 'tv', 'trailblazer']",5,3,0,8,0,8,4,"[('aficionado', 'typical'), ('apathy', 'twitter'), ('award-winning', 'baconaholic'), ('baconaholic', 'prone'), ('fit', 'apathy'), ('prone', 'fit'), ('tv', 'trailblazer'), ('twitter', 'aficionado'), ('typical', 'tv')]"
656,"['hipster-friendly', 'internet', 'lover', 'music', 'aficionado', 'twitter', 'geek', 'friendly', 'web', 'evangelist']",5,5,2,3,4,9,8,"[('aficionado', 'twitter'), ('friendly', 'web'), ('geek', 'friendly'), ('hipster-friendly', 'internet'), ('internet', 'lover'), ('lover', 'music'), ('music', 'aficionado'), ('twitter', 'geek'), ('web', 'evangelist')]"
657,"['problem', 'solver', 'certified', 'social', 'medium', 'nerd', 'travel', 'advocate', 'pop', 'culture', 'fanatic', 'general', 'reader', 'introvert', 'devoted', 'coffee', 'maven']",5,1,3,2,0,0,9,"[('advocate', 'pop'), ('certified', 'social'), ('coffee', 'maven'), ('culture', 'fanatic'), ('devoted', 'coffee'), ('fanatic', 'general'), ('general', 'reader'), ('introvert', 'devoted'), ('medium', 'nerd'), ('nerd', 'travel'), ('pop', 'culture'), ('problem', 'solver'), ('reader', 'introvert'), ('social', 'medium'), ('solver', 'certified'), ('travel', 'advocate')]"
658,"['tv', 'junkie', 'music', 'nerd', 'food', 'evangelist', 'friendly', 'social', 'medium', 'fan', 'evil', 'pop', 'culture', 'expert', 'future', 'teen', 'idol', 'entrepreneur']",0,7,0,9,9,9,9,"[('culture', 'expert'), ('evangelist', 'friendly'), ('evil', 'pop'), ('expert', 'future'), ('fan', 'evil'), ('food', 'evangelist'), ('friendly', 'social'), ('future', 'teen'), ('idol', 'entrepreneur'), ('junkie', 'music'), ('medium', 'fan'), ('music', 'nerd'), ('nerd', 'food'), ('pop', 'culture'), ('social', 'medium'), ('teen', 'idol'), ('tv', 'junkie')]"
659,"['writer', 'subtly', 'charming', 'creator', 'pop', 'culture', 'fanatic', 'devoted', 'web', 'advocate', 'amateur', 'travel', 'junkie']",6,3,0,2,0,8,7,"[('advocate', 'amateur'), ('amateur', 'travel'), ('charming', 'creator'), ('creator', 'pop'), ('culture', 'fanatic'), ('devoted', 'web'), ('fanatic', 'devoted'), ('pop', 'culture'), ('subtly', 'charming'), ('travel', 'junkie'), ('web', 'advocate'), ('writer', 'subtly')]"
660,"['student', 'creator', 'beeraholic', 'zombie', 'trailblazer', 'internet', 'fan', 'tv', 'scholar', 'coffee', 'practitioner', 'introvert', 'subtly', 'charming', 'music', 'fanatic']",0,3,8,2,2,0,8,"[('beeraholic', 'zombie'), ('charming', 'music'), ('coffee', 'practitioner'), ('creator', 'beeraholic'), ('fan', 'tv'), ('internet', 'fan'), ('introvert', 'subtly'), ('music', 'fanatic'), ('practitioner', 'introvert'), ('scholar', 'coffee'), ('student', 'creator'), ('subtly', 'charming'), ('trailblazer', 'internet'), ('tv', 'scholar'), ('zombie', 'trailblazer')]"
661,"['reader', 'communicator', 'beer', 'enthusiast', 'music', 'specialist', 'twitter', 'junkie', 'alcohol', 'evangelist', 'devoted', 'internet', 'expert']",4,4,9,5,0,1,0,"[('alcohol', 'evangelist'), ('beer', 'enthusiast'), ('communicator', 'beer'), ('devoted', 'internet'), ('enthusiast', 'music'), ('evangelist', 'devoted'), ('internet', 'expert'), ('junkie', 'alcohol'), ('music', 'specialist'), ('reader', 'communicator'), ('specialist', 'twitter'), ('twitter', 'junkie')]"
662,"['unapologetic', 'troublemaker', 'certified', 'web', 'scholar', 'zombie', 'guru', 'hipster-friendly', 'internet', 'trailblazer', 'analyst', 'devoted', 'beer', 'buff', 'bacon', 'junkie']",4,1,4,6,1,5,7,"[('analyst', 'devoted'), ('bacon', 'junkie'), ('beer', 'buff'), ('buff', 'bacon'), ('certified', 'web'), ('devoted', 'beer'), ('guru', 'hipster-friendly'), ('hipster-friendly', 'internet'), ('internet', 'trailblazer'), ('scholar', 'zombie'), ('trailblazer', 'analyst'), ('troublemaker', 'certified'), ('unapologetic', 'troublemaker'), ('web', 'scholar'), ('zombie', 'guru')]"
663,"['infuriatingly', 'humble', 'travel', 'buff', 'communicator', 'coffee', 'maven', 'bacon', 'geek', 'fall', 'lot']",6,5,8,4,2,7,4,"[('bacon', 'geek'), ('buff', 'communicator'), ('coffee', 'maven'), ('communicator', 'coffee'), ('fall', 'lot'), ('geek', 'fall'), ('humble', 'travel'), ('infuriatingly', 'humble'), ('maven', 'bacon'), ('travel', 'buff')]"
664,"['coffee', 'buff', 'twitter', 'junkie', 'introvert', 'music', 'specialist', 'bacon', 'enthusiast']",7,9,7,6,0,6,3,"[('bacon', 'enthusiast'), ('buff', 'twitter'), ('coffee', 'buff'), ('introvert', 'music'), ('junkie', 'introvert'), ('music', 'specialist'), ('specialist', 'bacon'), ('twitter', 'junkie')]"
665,"['pop', 'culture', 'fanatic', 'friendly', 'travel', 'ninja', 'infuriatingly', 'humble', 'twitter', 'specialist']",7,0,4,8,5,7,8,"[('culture', 'fanatic'), ('fanatic', 'friendly'), ('friendly', 'travel'), ('humble', 'twitter'), ('infuriatingly', 'humble'), ('ninja', 'infuriatingly'), ('pop', 'culture'), ('travel', 'ninja'), ('twitter', 'specialist')]"
666,"['devoted', 'web', 'advocate', 'award-winning', 'organizer', 'prone', 'fit', 'apathy', 'alcohol', 'practitioner']",9,7,3,4,5,9,7,"[('advocate', 'award-winning'), ('alcohol', 'practitioner'), ('apathy', 'alcohol'), ('award-winning', 'organizer'), ('devoted', 'web'), ('fit', 'apathy'), ('organizer', 'prone'), ('prone', 'fit'), ('web', 'advocate')]"
667,"['unapologetic', 'social', 'medium', 'junkie', 'beer', 'guru', 'introvert', 'hardcore', 'zombie', 'advocate']",6,2,5,0,1,6,5,"[('beer', 'guru'), ('guru', 'introvert'), ('hardcore', 'zombie'), ('introvert', 'hardcore'), ('junkie', 'beer'), ('medium', 'junkie'), ('social', 'medium'), ('unapologetic', 'social'), ('zombie', 'advocate')]"
668,"['entrepreneur', 'unapologetic', 'writer', 'reader', 'travel', 'ninja', 'tv', 'maven', 'explorer', 'creator']",9,4,2,4,7,6,7,"[('entrepreneur', 'unapologetic'), ('explorer', 'creator'), ('maven', 'explorer'), ('ninja', 'tv'), ('reader', 'travel'), ('travel', 'ninja'), ('tv', 'maven'), ('unapologetic', 'writer'), ('writer', 'reader')]"
669,"['introvert', 'food', 'junkie', 'amateur', 'social', 'medium', 'ninja', 'hardcore', 'zombie', 'guru', 'twitter', 'specialist', 'devoted', 'tv', 'fan', 'avid', 'creator', 'wannabe', 'alcohol', 'aficionado']",0,8,7,7,4,1,8,"[('alcohol', 'aficionado'), ('amateur', 'social'), ('avid', 'creator'), ('creator', 'wannabe'), ('devoted', 'tv'), ('fan', 'avid'), ('food', 'junkie'), ('guru', 'twitter'), ('hardcore', 'zombie'), ('introvert', 'food'), ('junkie', 'amateur'), ('medium', 'ninja'), ('ninja', 'hardcore'), ('social', 'medium'), ('specialist', 'devoted'), ('tv', 'fan'), ('twitter', 'specialist'), ('wannabe', 'alcohol'), ('zombie', 'guru')]"
670,"['amateur', 'food', 'junkie', 'hipster-friendly', 'tv', 'trailblazer', 'professional', 'coffee', 'practitioner', 'web', 'maven', 'evil', 'beer', 'fan']",3,5,2,6,4,4,8,"[('amateur', 'food'), ('beer', 'fan'), ('coffee', 'practitioner'), ('evil', 'beer'), ('food', 'junkie'), ('hipster-friendly', 'tv'), ('junkie', 'hipster-friendly'), ('maven', 'evil'), ('practitioner', 'web'), ('professional', 'coffee'), ('trailblazer', 'professional'), ('tv', 'trailblazer'), ('web', 'maven')]"
671,"['hardcore', 'student', 'organizer', 'troublemaker', 'extreme', 'travel', 'buff', 'introvert', 'friendly', 'communicator', 'web', 'nerd']",7,0,3,3,0,8,6,"[('buff', 'introvert'), ('communicator', 'web'), ('extreme', 'travel'), ('friendly', 'communicator'), ('hardcore', 'student'), ('introvert', 'friendly'), ('organizer', 'troublemaker'), ('student', 'organizer'), ('travel', 'buff'), ('troublemaker', 'extreme'), ('web', 'nerd')]"
672,"['general', 'zombie', 'buff', 'reader', 'wannabe', 'troublemaker', 'typical', 'analyst', 'twitter', 'aficionado']",5,5,5,9,6,2,6,"[('analyst', 'twitter'), ('buff', 'reader'), ('general', 'zombie'), ('reader', 'wannabe'), ('troublemaker', 'typical'), ('twitter', 'aficionado'), ('typical', 'analyst'), ('wannabe', 'troublemaker'), ('zombie', 'buff')]"
